Date,Price,Open,High,Low,Vol.,Change %
2016-01-14,579.62,575.67,584.43,565.68,,0.74%
2016-01-13,575.37,595.73,596.8,574.28,,-3.38%
2016-01-12,595.47,591.48,598.76,588.74,,1.03%
2016-01-11,589.41,584.8,591.28,580.53,,0.88%
2016-01-08,584.27,592.11,597.95,583.15,,-1.08%
2016-01-07,590.66,600.92,600.99,589.49,,-2.01%
2016-01-06,602.79,606.67,606.67,598.85,,-0.99%
2016-01-05,608.84,610.26,612.1,604.87,,-0.17%
2016-01-04,609.89,618.96,618.96,603.36,,-1.79%
2015-12-31,621.02,626.33,627.36,620.96,,-0.97%
2015-12-30,627.12,631.83,631.83,627.05,,-0.78%
2015-12-29,632.07,626.17,632.99,626.17,,1.13%
2015-12-28,625.03,622.78,625.23,620.12,,0.26%
2015-12-24,623.39,624.82,625.14,622.82,,-0.26%
2015-12-23,625.03,622.39,625.48,622.36,,0.57%
2015-12-22,621.5,618.24,622.91,616.99,,0.67%
2015-12-21,617.35,616.38,620.31,613.2,,0.37%
2015-12-18,615.07,623.58,623.58,614.75,,-1.45%
2015-12-17,624.12,634.81,636.03,624.11,,-1.63%
2015-12-16,634.44,625.61,635.59,624.32,,1.69%
2015-12-15,623.89,621.78,630,621.78,,0.58%
2015-12-14,620.3,618.29,621.63,611.27,,0.46%
2015-12-11,617.47,630.06,630.06,616.43,,-2.32%
2015-12-10,632.16,630.98,635.98,629.67,,0.24%
2015-12-09,630.62,637.02,641.8,627.52,,-1.22%
2015-12-08,638.42,638.3,641.58,633.54,,-0.32%
2015-12-07,640.48,643.19,643.19,636.21,,-0.46%
2015-12-04,643.44,631.76,643.97,631.76,,1.98%
2015-12-03,630.96,640.83,642.58,628.4,,-1.52%
2015-12-02,640.68,646.52,646.76,639.72,,-0.90%
2015-12-01,646.5,641.06,646.63,641.06,,1.01%
2015-11-30,640.02,645.57,646.49,639.58,,-0.84%
2015-11-27,645.46,647.95,648.61,643.06,,-0.41%
2015-11-25,648.09,645.04,649.18,645.04,,0.49%
2015-11-24,644.91,645.43,646.97,638.45,,-0.21%
2015-11-23,646.26,644.26,648.94,643.94,,0.35%
2015-11-20,644.03,637.17,644.06,637.17,,1.23%
2015-11-19,636.18,635.63,638.74,634.93,,0.07%
2015-11-18,635.75,626.04,636.33,625.32,,1.70%
2015-11-17,625.1,624.26,630.37,623,,0.21%
2015-11-16,623.77,615.84,623.77,612.66,,1.23%
2015-11-13,616.2,632.28,632.28,615.83,,-2.65%
2015-11-12,632.99,638.55,639.1,632.68,,-0.98%
2015-11-11,639.24,642.88,644.05,637.83,,-0.50%
2015-11-10,642.42,636.38,642.65,635.97,,0.82%
2015-11-09,637.19,643.73,643.73,632.54,,-1.34%
2015-11-06,645.84,644.87,647.36,641.82,,-0.02%
2015-11-05,645.99,644.14,647.6,641.23,,0.37%
2015-11-04,643.58,647.96,649.46,640.38,,-0.65%
2015-11-03,647.78,644.76,649.3,644.27,,0.41%
2015-11-02,645.16,642.9,646.15,640.65,,0.44%
2015-10-30,642.34,641,646.53,640.55,,0.23%
2015-10-29,640.88,638.97,642.06,636.16,,0.27%
2015-10-28,639.14,633.65,639.15,631,,0.95%
2015-10-27,633.15,635.99,635.99,630.7,,-0.53%
2015-10-26,636.52,631.98,637.35,631.81,,0.77%
2015-10-23,631.66,629.76,636.84,628.53,,0.42%
2015-10-22,629.04,621.59,629.82,621.59,,1.39%
2015-10-21,620.4,623.78,626.21,619.76,,-0.38%
2015-10-20,622.79,623.97,626.04,621.43,,-0.23%
2015-10-19,624.21,620.85,624.4,619.6,,0.45%
2015-10-16,621.4,617.97,621.45,617.54,,0.60%
2015-10-15,617.72,610.99,617.99,608.84,,1.26%
2015-10-14,610.03,616.31,618.27,608.75,,-1.02%
2015-10-13,616.31,619.13,621.73,615.64,,-0.55%
2015-10-12,619.71,617.13,621.3,617.11,,0.47%
2015-10-09,616.79,615.81,617.16,613.28,,0.17%
2015-10-08,615.75,607.81,616.83,606.82,,1.17%
2015-10-07,608.62,607.2,609.87,602.76,,0.34%
2015-10-06,606.54,610.76,613.05,603.66,,-0.70%
2015-10-05,610.82,603.6,611.98,603.6,,1.44%
2015-10-02,602.12,593.06,602.13,583.94,,1.43%
2015-10-01,593.66,589.57,593.85,584.9,,0.73%
2015-09-30,589.37,576.4,590,576.4,,2.66%
2015-09-29,574.08,576.03,580.07,570.4,,-0.29%
2015-09-28,575.76,591.99,591.99,574.55,,-2.89%
2015-09-25,592.92,593.06,600.08,590.21,,0.01%
2015-09-24,592.86,594.1,594.1,584.94,,-0.31%
2015-09-23,594.72,596.34,597.53,592.69,,-0.27%
2015-09-22,596.33,602.37,602.37,592.02,,-1.26%
2015-09-21,603.95,600.6,607.02,599.33,,0.75%
2015-09-18,599.47,608.34,608.34,598.21,,-1.52%
2015-09-17,608.75,607.46,617.72,606.95,,0.25%
2015-09-16,607.23,600.43,607.95,599.74,,1.14%
2015-09-15,600.37,595.04,601.85,591.46,,1.08%
2015-09-14,593.95,597.3,597.34,591.95,,-0.57%
2015-09-11,597.33,592.37,597.33,590.05,,0.74%
2015-09-10,592.94,591.02,596.55,589.09,,0.27%
2015-09-09,591.33,599.23,603.99,590.17,,-1.12%
2015-09-08,598,587.21,598.42,587.21,,2.32%
2015-09-04,584.43,590.07,590.07,580.73,,-1.12%
2015-09-03,591.04,591.13,598.22,588.94,,0.06%
2015-09-02,590.69,580.53,590.74,580.53,,2.10%
2015-09-01,578.55,590.67,590.67,575.38,,-2.61%
2015-08-31,594.07,597.88,598.96,592.08,,-0.73%
2015-08-28,598.46,597.92,601.67,594.86,,0.02%
2015-08-27,598.32,585.78,599.89,585.78,,2.35%
2015-08-26,584.57,564.91,585.34,564.91,,3.85%
2015-08-25,562.89,566.88,584.23,562.89,,-0.40%
2015-08-24,565.13,587.03,587.03,552.15,,-4.02%
2015-08-21,588.77,607.51,607.51,588.77,,-3.29%
2015-08-20,608.8,624.8,624.8,608.78,,-2.80%
2015-08-19,626.33,627.4,630.9,623.48,,-0.23%
2015-08-18,627.8,627.09,630.02,626.51,,0.10%
