Date,Price,Open,High,Low,Vol.,Change %
2014-06-30,"4,408.18","4,398.37","4,417.46","4,396.59",493.49M,0.23%
2014-06-27,"4,397.93","4,371.80","4,398.85","4,371.60",1.13B,0.43%
2014-06-26,"4,379.05","4,379.44","4,379.80","4,347.45",360.13M,-0.02%
2014-06-25,"4,379.76","4,341.82","4,383.55","4,339.41",422.56M,0.68%
2014-06-24,"4,350.35","4,367.90","4,399.87","4,342.90",482.18M,-0.42%
2014-06-23,"4,368.68","4,368.95","4,371.81","4,358.68",424.37M,0.01%
2014-06-20,"4,368.04","4,365.37","4,368.80","4,354.03",1.06B,0.20%
2014-06-19,"4,359.33","4,370.14","4,372.18","4,339.61",440.75M,-0.08%
2014-06-18,"4,362.84","4,341.18","4,365.10","4,320.54",434.83M,0.59%
2014-06-17,"4,337.23","4,316.01","4,346.12","4,311.15",444.94M,0.37%
2014-06-16,"4,321.10","4,303.93","4,326.89","4,296.26",407.96M,0.24%
2014-06-13,"4,310.65","4,315.31","4,317.67","4,288.41",430.05M,0.30%
2014-06-12,"4,297.63","4,323.11","4,328.35","4,284.53",454.96M,-0.79%
2014-06-11,"4,331.93","4,322.92","4,338.21","4,315.49",408.36M,-0.14%
2014-06-10,"4,338.00","4,329.20","4,338.87","4,319.93",419.94M,0.04%
2014-06-09,"4,336.24","4,324.35","4,346.74","4,320.28",435.14M,0.34%
2014-06-06,"4,321.40","4,312.76","4,322.51","4,305.74",409.13M,0.59%
2014-06-05,"4,296.23","4,259.12","4,299.50","4,241.68",456.39M,1.05%
2014-06-04,"4,251.64","4,222.21","4,256.19","4,216.23",392.28M,0.41%
2014-06-03,"4,234.08","4,222.04","4,240.35","4,215.80",432.93M,-0.07%
2014-06-02,"4,237.20","4,247.96","4,247.96","4,207.61",408.84M,-0.13%
2014-05-30,"4,242.62","4,251.49","4,252.08","4,221.95",511.40M,-0.13%
2014-05-29,"4,247.95","4,238.04","4,247.95","4,228.96",365.31M,0.54%
2014-05-28,"4,225.07","4,234.96","4,238.17","4,216.89",406.89M,-0.28%
2014-05-27,"4,237.07","4,206.44","4,237.07","4,204.72",429.96M,1.22%
2014-05-23,"4,185.81","4,159.78","4,186.58","4,148.30",387.93M,0.76%
2014-05-22,"4,154.34","4,136.09","4,164.85","4,131.47",434.35M,0.55%
2014-05-21,"4,131.54","4,105.96","4,133.61","4,103.61",417.63M,0.85%
2014-05-20,"4,096.89","4,121.11","4,124.86","4,080.61",459.62M,-0.70%
2014-05-19,"4,125.81","4,080.33","4,128.47","4,075.70",401.44M,0.86%
2014-05-16,"4,090.59","4,070.35","4,091.16","4,044.27",469.90M,0.52%
2014-05-15,"4,069.29","4,096.53","4,098.25","4,035.96",539.00M,-0.76%
2014-05-14,"4,100.63","4,122.08","4,132.33","4,093.83",443.26M,-0.71%
2014-05-13,"4,130.16","4,144.90","4,155.13","4,128.01",446.52M,-0.33%
2014-05-12,"4,143.86","4,092.84","4,146.54","4,092.09",485.71M,1.77%
2014-05-09,"4,071.87","4,043.44","4,071.87","4,025.24",502.34M,0.50%
2014-05-08,"4,051.50","4,053.28","4,109.20","4,039.91",588.77M,-0.40%
2014-05-07,"4,067.67","4,085.49","4,091.03","4,021.05",636.41M,-0.32%
2014-05-06,"4,080.76","4,128.22","4,132.46","4,080.76",479.26M,-1.38%
2014-05-05,"4,138.06","4,099.25","4,138.34","4,086.35",404.88M,0.34%
2014-05-02,"4,123.90","4,138.63","4,145.06","4,115.89",480.28M,-0.09%
2014-05-01,"4,127.45","4,121.25","4,149.56","4,105.61",536.77M,0.31%
2014-04-30,"4,114.56","4,085.19","4,116.14","4,070.62",547.57M,0.27%
2014-04-29,"4,103.54","4,089.51","4,111.45","4,070.24",457.60M,0.72%
2014-04-28,"4,074.40","4,091.81","4,111.59","4,014.17",572.11M,-0.03%
2014-04-25,"4,075.56","4,125.16","4,126.98","4,068.10",526.90M,-1.75%
2014-04-24,"4,148.34","4,174.61","4,177.16","4,107.52",521.52M,0.52%
2014-04-23,"4,126.97","4,160.90","4,161.44","4,125.41",447.60M,-0.83%
2014-04-22,"4,161.46","4,132.06","4,170.72","4,131.61",463.21M,0.97%
2014-04-21,"4,121.55","4,105.36","4,121.55","4,081.91",395.74M,0.64%
2014-04-17,"4,095.52","4,080.30","4,110.46","4,064.70",506.53M,0.23%
2014-04-16,"4,086.22","4,066.82","4,086.28","4,038.81",481.18M,1.29%
2014-04-15,"4,034.16","4,032.63","4,054.80","3,946.03",591.54M,0.29%
2014-04-14,"4,022.69","4,038.06","4,050.79","3,986.50",488.25M,0.57%
2014-04-11,"3,999.73","4,015.07","4,067.22","3,991.64",593.44M,-1.34%
2014-04-10,"4,054.11","4,181.21","4,182.61","4,042.76",612.45M,-3.10%
2014-04-09,"4,183.90","4,129.63","4,185.19","4,121.17",473.34M,1.72%
2014-04-08,"4,112.99","4,085.18","4,120.24","4,066.11",542.20M,0.81%
2014-04-07,"4,079.75","4,110.92","4,133.68","4,052.14",649.90M,-1.16%
2014-04-04,"4,127.73","4,263.94","4,267.06","4,118.71",653.31M,-2.60%
2014-04-03,"4,237.74","4,282.18","4,284.69","4,216.57",499.91M,-0.91%
2014-04-02,"4,276.46","4,281.61","4,286.09","4,258.86",495.12M,0.20%
2014-04-01,"4,268.04","4,219.87","4,268.20","4,218.77",533.02M,1.64%
2014-03-31,"4,198.99","4,185.62","4,212.97","4,180.54",554.21M,1.04%
2014-03-28,"4,155.76","4,163.18","4,203.49","4,144.69",483.50M,0.11%
2014-03-27,"4,151.23","4,169.35","4,186.12","4,131.81",549.86M,-0.54%
2014-03-26,"4,173.58","4,254.98","4,263.07","4,173.58",577.28M,-1.43%
2014-03-25,"4,234.27","4,252.65","4,274.32","4,203.64",510.49M,0.19%
2014-03-24,"4,226.39","4,289.49","4,289.49","4,190.61",604.09M,-1.18%
